MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V Distance_distance Distance_unit Distance_method
"NGC  6618" "NAME Swan Nebula" "M  17|BD-16  4820|C 1817-162|CTB 52|1E 1818.0-1610|GCRV 10811|GRS G015.00 -00.70|HD 168520|LBN    60|LBN 015.28-00.67|LMH 21|MM 20|NAME Swan Nebula|NAME omega Nebula|NAME NGC 6618 Horseshoe|NAME Lobster Nebula|NAME Checkmark Nebula|NGC  6618|NRL  4|OCISM   9|OCl   44|OCl   44.0|WEB 15351|W 38|[BDB2003] G015.05-00.69|[KPR2004b] 444|[KPS2012] MWSC 2896|[PT56] 41" "NGC 6618" "M 17" "HD 168520" "18 20 47" "-16 10.3" "Open (galactic) Cluster" "" "" -0.0001490 "" 1814.0000 pc ST-L
"M  18" "" "M  18|C 1817-171|NGC  6613|OCISM   8|OCl   40|[KPR2004b] 443|[KPS2012] MWSC 2892|[SC95] M 548|[SC96] Mis 1288" "NGC 6613" "M 18" "" "18 19 58" "-17 06.1" "Open (galactic) Cluster" "" "" -0.0000470 6.900000095367432 1296.0000 pc ST-L
"M  19" "" "M  19|C 1659-262|CD-26 11823|GCl  52|GCRV  9819|HD 153799|NGC  6273|[KPS2012] MWSC 2519" "NGC 6273" "M 19" "HD 153799" "17 02 37.69" "-26 16 04.6" "Globular Cluster" "" "" 0.0004500 5.570000171661377 "" "" ""
"M  20" "NAME Trifid Nebula" "M  20|C 1759-230|Cl Collinder  360|CSI-23-17593  1|CTB 45|GRS G007.00 -00.30|LBN 006.99-00.17|LBN    27|LMH 12|MM 11|MSH 17-2-16|NAME Trifid Nebula|NGC  6514|NRL 10|OCISM   2|OCl   23.0|[DGW65]  99|[KPR2004b] 425|[KPS2012] MWSC 2789|[SC95] M 208|[SC95] M 215" "NGC 6514" "M 20" "" "18 02 42" "-22 58.3" "Open (galactic) Cluster" "" "" -0.0000070 "" 816.0000 pc ST-L
"M  21" "" "M  21|C 1801-225|NGC  6531|OCISM   3|OCl   26.0|[KPR2004b] 427|[KPS2012] MWSC 2796|[SC95] M 248|[SC96] GC 372|[SC96] Mis  946" "NGC 6531" "M 21" "" "18 04 13" "-22 29.4" "Open (galactic) Cluster" "" "" -0.0000490 "" 1205.0000 pc ST-L
"M  22" "" "M  22|C 1833-239|CD-24 14516|1E 1833.3-2357|GCl  99|GCRV  6244 E|GCRV 11055|HD 171560|NGC  6656|[KPS2012] MWSC 2961" "NGC 6656" "M 22" "HD 171560" "18 36 23.94" "-23 54 17.1" "Globular Cluster" "" "" -0.0004940 6.170000076293945 0.0030 Mpc ""
"M  23" "" "M  23|C 1753-190|NGC  6494|[KPR2004b] 422|[KPS2012] MWSC 2757" "NGC 6494" "M 23" "" "17 57 04" "-18 59.1" "Open (galactic) Cluster" "" "" -0.0000270 5.5 628.0000 pc ST-L
"M  24" "NAME Small Sgr Star Cloud" "M  24|IC 4715|NAME Small Sgr Star Cloud" "" "M 24" "" "18 16.8" "-18 33" "Association of Stars" "" "" "" "" "" "" ""
"IC 4725" "" "M  25|C 1828-192|IC 4725|[KPR2004b] 449|[KPS2012] MWSC 2940|[SC95] M 662|[SC95] M 667|[SC96] Mis 1423" "" "M 25" "" "18 31 47" "-19 07.0" "Open (galactic) Cluster" "" "" 0.0002040 4.599999904632568 620.0000 pc ST-L
"M  26" "" "M  26|C 1842-094|NGC  6694|OCISM  13|OCl   67|OCl   67.0|[KPR2004b] 451|[KPS2012] MWSC 2987" "NGC 6694" "M 26" "" "18 45 18" "-09 23.0" "Open (galactic) Cluster" "" "" 0.0000130 8.869999885559082 1582.0000 pc ST-L
