MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V Distance_distance Distance_unit Distance_method
"M  53" "" "M  53|C 1310+184|GCl  22|NGC  5024|[KPS2012] MWSC 2094" "NGC 5024" "M 53" "" "13 12 55.25" "+18 10 05.4" "Globular Cluster" "" "" -0.0001990 7.789999961853027 "" "" ""
"M  54" "" "M  54|C 1851-305|CD-30 16412|CPD-30  5748|GCl 104|GCRV  6397 E|GCRV 11355|HD 175113|LEDA 2802337|NGC  6715|[KPS2012] MWSC 3023" "NGC 6715" "M 54" "HD 175113" "18 55 03.33" "-30 28 47.5" "Globular Cluster" "" "" 0.0004730 "" 0.0270 Mpc ""
"M  55" "" "M  55|C 1936-310|CD-31 16934|GCl 113|GCRV  6723 E|HD 185385|NGC  6809|[KPS2012] MWSC 3150" "NGC 6809" "M 55" "HD 185385" "19 39 59.71" "-30 57 53.1" "Globular Cluster" "" "" 0.0005840 6.489999771118164 0.0050 Mpc ""
"M  56" "" "M  56|C 1914+300|CSI+30-19146  3|GCl 110|GCRV 11736|NGC  6779|[KPS2012] MWSC 3077" "NGC 6779" "M 56" "" "19 16 35.57" "+30 11 00.5" "Globular Cluster" "" "" -0.0004530 "" 0.0100 Mpc ""
"M  57" "NAME Ring Nebula" "M  57|B2.1 1851+32|BD+32  3246|BWE 1851+3257|CSI+32-18517|GB6 B1851+3257|87GB 185143.8+325740|GCRV 11366|GSC2 N0223131306|HD 175353|IRAS 18517+3257|MITG J185337+3301|MITG J185334+3301|NAME Ring Nebula|NGC  6720|NVSS J185335+330145|PK 063+13  1|PK 063+13|PLX 4377|PLX 4377.00|PN G063.1+13.9|PN ARO    9|PN VV  214|PN VV'  466|WB 1851+3257|WD 1851+329|WEB 16043|WN B1851.7+3257|[A86] 1851+329|[D71] 1851+32|[FA87] 1851+329|[LFO93] 1851+32" "NGC 6720" "M 57" "HD 175353" "18 53 35.079" "+33 01 45.03" "Planetary Nebula" DA(O?) 11.900 -0.0000640 15.769000053405762 880.0000 pc ""
"M  58" "" "M  58|ALFALFA 3-328|BWE 1235+1206|2E  2801|2E 1235.2+1205|1ES 1235+12.0|EVCC 965|FIRST J123743.5+114905|GB6 B1235+1205|87GB 123513.9+120558|IRAS F12351+1205|IRAS 12351+1205|JCMTSE J123743.4+114907|JCMTSF J123743.4+114907|LEDA   42168|2MASX J12374359+1149051|MCG+02-32-160|NGC  4579|NVSS B123512+120537|PBC J1237.7+1150|PCCS1 545 G290.37+74.35|PCCS1 857 G290.38+74.34|PSCz Q12351+1205|RBS  1136|RX J1237.7+1149|1RXS J123743.6+114909|SDSS J123745.44+114900.3|SDSS J123743.52+114905.4|SDSS J123743.53+114905.5|UGC  7796|UZC J123743.4+114905|VCC 1727|VPC 1119|2XMM J123743.5+114905|Z  70-197|Z 1235.2+1205|[BEC2010] HRS 220|[CAB95] IRAS F12351+1205|[CHM2007] HDC  720 J123743.59+1149051|[CHM2007] LDC  904 J123743.59+1149051|[DSB94] 227|[GCS2005] J123743.52+114905.5|[M98c] 123512.6+120540|[NKB95] N4579|[TDA2013] AGESVC2 23|[TH2002]   7|[VV2000c] J123743.5+114905|[VV2003c] J123743.5+114905|[VV2006c] J123743.5+114905|[VV2010c] J123743.5+114905|[VV98c] J123743.5+114905|[YOF95] 210|[ZEH2003] RX J1237.7+1149  1" "NGC 4579" "M 58" "" "12 37 43.597" "+11 49 05.12" "Seyfert Galaxy" "" "" 0.0056200 9.65999984741211 16.6700 Mpc ""
"M  59" "" "M  59|ACSVCS 9|2E  2825|2E 1239.5+1155|EVCC 2207|LEDA   42628|2MASX J12420232+1138489|MCG+02-32-183|NGC  4621|SDSS J124202.25+113848.8|UGC  7858|UZC J124202.4+113848|VCC 1903|Z  70-223|Z 1239.5+1155|[BEC2010] HRS 236|[CHM2007] HDC  720 J124202.32+1138489|[CHM2007] LDC  904 J124202.32+1138489|[DLB87] V17|[FWB89] Galaxy 279|[M98c] 123931.2+115515|[TH2002]   8" "NGC 4621" "M 59" "" "12 42 02.322" "+11 38 48.95" "Galaxy in Group of Galaxies" "" "" 0.0014380 "" 10.1000 Mpc ""
"M  60" "" "M  60|ACSVCS 3|2E  2835|2E 1241.1+1149|EVCC 1101|KPG 353b|LEDA   42831|2MASX J12434000+1133093|MCG+02-33-002|NGC  4649|NVSS B124108+114934|RBS  1150|RXC J1243.6+1133|RX J1243.6+1133|1RXS J124340.6+113309|SDSS J124342.26+113329.6|SDSS J124339.97+113309.7|UGC  7898|UZC J124339.7+113307|VCC 1978|VV  206a|VV  206|Z  71-16|Z 1241.1+1150|[BEC2010] HRS 245|[CHM2007] LDC  904 J124340.00+1133093|[CHM2007] HDC  720 J124340.00+1133093|[DLB87] V19|[FWB89] Galaxy 284|[T76]  78B|[TH2002]   2|[ZEH2003] RX J1243.6+1133  1" "NGC 4649" "M 60" "" "12 43 40.008" "+11 33 09.40" "Galaxy in Pair of Galaxies" "" "" 0.0033900 "" 15.9000 Mpc ""
"M  61" "" "M  61|BWE 1219+0445|2E  2676|2E 1219.3+0445|EVCC 429|GB6 B1219+0444|87GB 121922.1+044508|HIPASS J1221+04|IRAS 12194+0444|IRAS F12193+0445|LEDA   40001|2MASX J12215494+0428249|MCG+01-32-022|MITG J122151+0428|MRC 1219+047|NGC  4303|NVSS J122154+042825|NVSS B121921+044503|PCCS1 545 G284.36+66.28|PCCS1 857 G284.35+66.28|PMN J1221+0428|PSCz Q12194+0444|QDOT B1219241+044452|RGB J1221.8+0429|RX J122155+04290|RX J1221.9+0429|1RXS J122155.6+042919|SDSS J122154.92+042825.6|TC E21|UGC  7420|UZC J122155.0+042824|VCC  508|WB 1219+0445|WVFSCC J122156+042740|2XMM J122154.8+042825|Z  42-45|Z 1219.3+0445|[BEC2010] HRS 114|[CAB95] IRAS F12193+0445|[CHM2007] HDC  720 J122154.94+0428249|[CHM2007] LDC  904 J122154.94+0428249|[M98c] 121921.4+044458|[NKB95] N4303|[VV2000c] J122154.9+042825|[VV2003c] J122154.9+042825|[VV2006c] J122154.9+042825|[VV2010c] J122154.9+042825|[VV98c] J122154.9+042825" "NGC 4303" "M 61" "" "12 21 54.950" "+04 28 24.92" "Seyfert 2 Galaxy" "" "" 0.0052300 9.649999618530273 16.5000 Mpc redshift
"M  62" "" "M  62|C 1658-300|Cl VDBH  210|1FGL J1701.1-3005|2FGL J1701.2-3007|3FGL J1701.2-3006|GCl  51|NGC  6266|[KPS2012] MWSC 2512" "NGC 6266" "M 62" "" "17 01 12.60" "-30 06 44.5" "Globular Cluster" "" "" -0.0002330 7.389999866485596 0.0070 Mpc ""
"M  63" "NAME Sunflower Galaxy" "M  63|B3 1313+422|BWE 1313+4217|6C 131336+421732|7C 131335.39+421742.00|EQ 1313+422|GB6 B1313+4217|87GB 131334.7+421742|IRAS F13135+4217|IRAS 13135+4217|ISOSS J13158+4201|JCMTSE J131549.3+420147|JCMTSF J131549.3+420147|LEDA   46153|2MASX J13154932+4201454|MCG+07-27-054|MY 131334.3+420231.3|MY 131334.3+421820.6|NAME Sunflower Galaxy|NGC  5055|NVSS J131548+420147|PSCz Q13135+4217|SDSS J131549.26+420145.8|TC 822|UGC  8334|UZC J131547.9+420201|WN B1313.5+4217|WN B1313.5+4217B|WN B1313.5+4217A|Z 217-23|Z 1313.5+4217|[CAB95] IRAS F13135+4217|[CHM2007] HDC  706 J131549.32+4201454|[CHM2007] LDC  867 J131549.32+4201454|[H92] 26|[M98c] 131334.9+421755|[NKB95] N5055|[SLK2004] 810|[VDD93] 181|[ZEH2003] RX J1315.8+4201  1" "NGC 5055" "M 63" "" "13 15 49.329" "+42 01 45.44" "LINER-type Active Galaxy Nucleus" "" "" 0.0016780 8.59000015258789 8.2000 Mpc T-F
"M  64" "NAME Evil Eye Galaxy" "M  64|ADBS J125711+2135|BWE 1254+2157|CAIRNS J125643.76+214051.9|2E  2907|2E 1254.2+2157|EQ 1254+22|EVCC 2248|GB6 B1254+2157|87GB 125417.4+215711|HIPASS J1256+21|IRAS F12542+2157|IRAS 12542+2157|IRAS 12543+2157|ISOSS J12567+2140|K73  559|LEDA   44182|2MASX J12564369+2140575|MCG+04-31-001|NAME Evil Eye Galaxy|NAME Black Eye Galaxy|NGC  4826|NVSS J125643+214100|PSCz P12542+2157|RX J125643+21412|RX J1256.7+2141|1RXS J125643.5+214106|UGC  8062|UZC J125644.3+214059|Z 130-1|Z 1254.2+2157|[CAB95] IRAS F12542+2157|[DC78] UGC  8062|[DSB94] 137|[GCS2005] J125643.63+214059.1|[M98c] 125416.9+215718|[RS2000] 201|[SLK2004] 755|[VDD93] 176|[VV2000c] J125643.9+214100|[VV2003c] J125643.9+214100|[VV2006c] J125643.9+214100|[VV2010c] J125643.9+214100|[VV98c] J125644.3+214105" "NGC 4826" "M 64" "" "12 56 43.696" "+21 40 57.57" "Seyfert Galaxy" "" "" 0.0013410 8.520000457763672 5.5000 Mpc T-F
"M  65" "" "M  65|ADBS J111852+1305|APG 317B|CAIRNS J111855.90+130537.0|EQ 1116+133|2EUVE J1118+13.0|EUVE J1118+13.0|LEDA   34612|2MASX J11185595+1305319|MCG+02-29-018|NGC  3623|1RXS J111857.4+130535|1RXS J111857.4+130536|SDSS J111855.91+130532.3|TC 160|UGC  6328|UZC J111855.9+130537|1WGA J1118.8+1306|2XMM J111855.9+130532|Z  67-54|Z 1116.3+1322|[CHM2007] HDC  626 J111855.95+1305319|[CHM2007] LDC  778 J111855.95+1305319|[M98c] 111618.6+132200|[RS2000] 156" "NGC 3623" "M 65" "" "11 18 55.957" "+13 05 31.96" "LINER-type Active Galaxy Nucleus" "" "" 0.0025400 "" 14.6000 Mpc T-F
"M  66" "" "M  66|ADBS J112020+1259|APG  16|APG 317A|Ark 288|BWE 1117+1316|CAIRNS J112015.02+125929.5|Cul 1117+132|GB6 B1117+1315|87GB 111738.3+131603|HIPASS J1120+13a|IRAS F11176+1315|IRAS 11176+1315|JCMTSE J112014.8+125932|JCMTSF J112014.8+125932|LEDA   34695|2MASX J11201502+1259286|MCG+02-29-019|MITG J112015+1259|MITG J1120+1259|MRC 1117+132|NAICGB 1117+132|NGC  3627|NVSS J112015+125902|PSCz Q11176+1315|RGB J1120+129|RGB J1120.3+1259|RX J1120.2+1259|RX J1120.3+1259|1RXS J112016.7+125917|SDSS J112014.98+125929.4|TC 162|UGC  6346|UZC J112015.1+125928|VV  308|VV  308a|WB 1117+1316|Z  67-57|Z 1117.6+1316|[CAB95] IRAS F11176+1315|[CHM2007] HDC  626 J112015.02+1259286|[CHM2007] LDC  778 J112015.02+1259286|[LBH86] 1117+132|[M98c] 111737.9+131608|[NKB95] N3627|[RS2000] 157|[VV2000c] J112014.9+125927|[VV2003c] J112014.9+125927|[VV2006c] J112014.9+125927|[VV2010c] J112014.9+125927|[VV98c] J112014.9+125927|[ZEH2003] RX J1120.2+1259  1|AAVSO 1115+13B" "NGC 3627" "M 66" "" "11 20 15.026" "+12 59 28.64" "LINER-type Active Galaxy Nucleus" "" "" 0.0023400 8.920000076293945 8.0000 Mpc T-F
"NGC  2682" "" "M  67|C 0847+120|HR  3515|NGC  2682|OCl  549.0|[KPR2004b] 212|[KPS2012] MWSC 1585" "NGC 2682" "M 67" "" "08 51 18" "+11 48.0" "Open (galactic) Cluster" "" "" 0.0001100 6.900000095367432 986.2790 pc ST-L
"M  68" "" "M  68|C 1236-264|CD-26  9257|GCl  20|GCRV  7606|HD 110032|NGC  4590|[KPS2012] MWSC 2059" "NGC 4590" "M 68" "HD 110032" "12 39 27.98" "-26 44 38.6" "Globular Cluster" "" "" -0.0003870 7.960000038146973 0.0100 Mpc ""
"M  69" "" "M  69|C 1828-323|CD-32 14224|CPD-32  5409|GCl  96|GCRV 10969|HD 170534|NGC  6637|[KPS2012] MWSC 2936" "NGC 6637" "M 69" "HD 170534" "18 31 23.10" "-32 20 53.1" "Globular Cluster" "" "" 0.0001300 8.3100004196167 "" "" ""
"M  70" "" "M  70|C 1840-323|GCl 101|NGC  6681|[KPS2012] MWSC 2981" "NGC 6681" "M 70" "" "18 43 12.76" "-32 17 31.6" "Globular Cluster" "" "" 0.0007300 9.0600004196167 0.0090 Mpc ""
"M  71" "" "M  71|C 1951+186|CSI+18-19515|GCl 115|GCRV 12241|NGC  6838|[KPS2012] MWSC 3200" "NGC 6838" "M 71" "" "19 53 46.49" "+18 46 45.1" "Globular Cluster" "" "" -0.0000560 6.099999904632568 0.0040 Mpc ""
"M  72" "" "M  72|C 2050-127|GCl 118|NGC  6981|[KPS2012] MWSC 3419" "NGC 6981" "M 72" "" "20 53 27.70" "-12 32 14.3" "Globular Cluster" "" "" -0.0009630 8.960000038146973 "" "" ""
"M  73" "" "M  73|C 2056-128|Cl Collinder  426|NGC  6994|OCl   89" "NGC 6994" "M 73" "" "20 59.0" "-12 38" "Cluster of Stars" "" "" "" 8.899999618530273 685.4880 pc ST-L
"M  74" "" "M  74|2E   440|2E 0134.0+1531|GB6 B0134+1531|87GB 013400.0+153119|HIPASS J0136+15|IRAS F01339+1532|IRAS 01340+1532|ISOSS J01366+1547|LEDA    5974|2MASX J01364177+1547004|MCG+03-05-011|NGC   628|PSCz Q01340+1532|TC  18|UGC  1149|UZC J013641.7+154659|Z 0134.0+1532|Z 460-14|[M98c] 013400.7+153155|[SLK2004] 223|[VDD93]   8" "NGC 628" "M 74" "" "01 36 41.772" "+15 47 00.46" Galaxy "" "" 0.0021880 9.460000038146973 7.2000 Mpc redshift
"M  75" "" "M  75|BD-22  5331|C 2003-220|CD-22 14479|CPD-22  7639|GCl 116|GCRV 12454|HD 190526|2MASX J20060484-2155201|NGC  6864|[KPS2012] MWSC 3254" "NGC 6864" "M 75" "HD 190526" "20 06 04.841" "-21 55 20.14" "Globular Cluster" "" "" -0.0006310 8.260000228881836 0.0210 Mpc ""
"M  76" "NAME Cork Nebula" "M  76|BWE 0139+5119|CSI+51-01391|GB6 B0139+5119|87GB 013909.6+511935|GCRV   950|HD  10346|IRAS F01391+5119|IRAS 01391+5119|NAME Cork Nebula|NAME Barbell Nebula|NAME Little Dumbbell Nebula|NGC   651|NGC   650|NVSS J014219+513431|PK 130-10  1|PN G130.9-10.5|PN VV'    9|PN ARO    2|PN VV    6|PSCz P01391+5119|WB 0139+5119|WD 0139+513|WEB  1707|WN B0139.1+5119|[KP98] 1" "NGC 651" "M 76" "HD 10346" "01 42 19.69" "+51 34 31.7" "Planetary Nebula" DOZ "" -0.0000790 17.479999542236328 746.0000 pc ""
"M  77" "" "M  77|APG  37|AT20G J024240-000046|1AXG J024241-0000|BWE 0240-0013|3C  71|3C  71.0|4C -00.13|3CR  71|Cul 0240-002|DA  82|6dFGS gJ024240.7-000048|2E   649|2E 0240.1-0013|1ES 0240-00.2|1FGL J0242.7+0007|2FGL J0242.5+0006|3FGL J0242.7-0001|GRA B0240-00|HIPASS J0242+00|INTREF   128|IRAS 02401-0013|IRAS F02401-0013|ISOSS J02426-0000|1Jy 0240-002|1Jy 0240-00|KUG 0240-002|LEDA   10266|LHE  67|2MASX J02424077-0000478|MCG+00-07-083|MITG J024240-0000|MRC 0240-002|MSH 02-0-14|NGC  1068|NRAO 112|NVSS J024240-000047|OHIO D -067|PBC J0242.7-0000|PKS J0242-0000|PKS 0240-00|PKS 0240-002|PMN J0242-0000|PSCz Q02401-0013|RAFGL 4220|RAFGL 4220S|RBS   348|1RXP J024240.9-000042|RX J024239-00000|RX J0242.6+0000|1RXS J024240.9-000046|S3 0240-00|SDSS J024240.70-000047.9|SINGG HIPASS J0242+00|SWIFT J0242.6+0000|SWIFT J0242.9-0000|TC 656|TXS 0240-002|UGC  2188|UZC J024240.7-000048|VLSS J0242.6-0000|WB 0240-0013|2XMM J024240.7-000046|XSS J02445-0000|Z 388-98|Z 0240.1-0013|[CAB95] IRAS F02401-0013|[CHM2007] HDC  163 J024240.77-0000478|[CHM2007] LDC  174 J024240.77-0000478|[DML87]  57|[HB91] 0240-002|[KRL2007b] 25|[M98c] 024006.5-001332|[NKB95] N1068|[SLK2004] 333|[VV2000c] J024240.7-000047|[VV2003c] J024240.7-000047|[VV2006c] J024240.7-000047|[VV2010c] J024240.7-000047|[VV98c] J024240.7-000047|AAVSO 0237-00" "NGC 1068" "M 77" "" "02 42 40.771" "-00 00 47.84" "Seyfert 2 Galaxy" "" "" 0.0038100 8.869999885559082 19.0000 Mpc redshift
"M  78" "" "M  78|Ced  55u|DG  80|NGC  2068|[KPS2012] MWSC 0664" "NGC 2068" "M 78" "" "05 46 45.8" "+00 04 45" "Reflection Nebula" "" "" 0.0002110 "" "" "" ""
"M  79" "" "M  79|C 0522-245|CD-24  3058|CPD-24   931|1E 0522.1-2433|GCl  10|GCRV  3251|HD  35512|NGC  1904|[KPS2012] MWSC 0528|[V2001] NGC  1904 X01" "NGC 1904" "M 79" "HD 35512" "05 24 10.59" "-24 31 27.3" "Globular Cluster" "" "" 0.0006870 8.15999984741211 0.0130 Mpc ""
"M  80" "" "M  80|BD-22  4135|C 1614-228|CD-22 11471|CPD-22  6166|2FGL J1616.8-2302|3FGL J1616.8-2300|GCl  39|GCRV  9366|HD 146417|NGC  6093|[KPS2012] MWSC 2376" "NGC 6093" "M 80" "HD 146417" "16 17 02.41" "-22 58 33.9" "Globular Cluster" "" "" 0.0000240 "" 0.0100 Mpc ""
"M  81" "NAME Bode's Galaxy" "M  81|BWE 0951+6918|2E  2195|2E 0951.4+6918|1ES 0951+69.3|EXO 0951.3+6917|GB6 B0951+6918|87GB 095125.0+691806|HIJASS J0955+69A|ICRF J095533.1+690355|IERS B0951+693|IRAS F09514+6918|IRAS 09514+6918|K79 28A|KPG 218a|LEDA   28630|2MASX J09553318+6903549|MCG+12-10-010|NAME Bode's Galaxy|NAME M 81*|NGC  3031|NVSS J095533+690355|PSCz Q09514+6918|RBS   808|RGB J0955+690|RORF 0951+693|1RXP J095532.8+690354|RX J095532+69038|RX J0955.5+6903|RX J095533.4+690353|1RXS J095534.7+690338|SDSS J095533.16+690355.1|SDSS J095533.14+690355.2|SPB 115|SWIFT J0955.9+6905|SWIFT J0955.5+6907|TC 714|UGC  5318|UZC J095535.5+690352|WN B0951.4+6918|2XMM J095533.1+690355|XMMSL1 J095534.3+690350|Z 333-7|Z 0951.4+6918|[B93] 13|[BAG2012] 149.0083+69.0811|[BAZ94]  3|[CAB95] IRAS F09514+6918|[CHM2007] HDC  552 J095533.18+6903549|[CHM2007] LDC  842 J095533.18+6903549|[DML87] 630|[LB2005] NGC  3031 X1|[M98c] 095127.6+691813|[NKB95] N3031|[VDD93]  99|[VV2000c] J095533.2+690355|[VV2003c] J095533.2+690355|[VV2006] J095533.2+690355|[VV2010] J095533.2+690355|[VV98c] J095533.2+690355|[ZEH2003] RX J0955.5+6903  1" "NGC 3031" "M 81" "" "09 55 33.1730" "+69 03 55.061" "Active Galaxy Nucleus" "" "" -0.0001400 6.940000057220459 3.6100 Mpc ""
"M  82" "NAME UMa A" "M  82|APG 337|1AXG J095549+6940|BWE 0951+6954|3C 231.0|3C 231|4C 69.12|6C 095143+695502|7C 095143.50+695500.00|8C 0951+699|3CR 231|CXOM82 J095549.7+694043|DA 277|1E 0951+69.8|2E  2197|2E 0951.7+6955|1ES 0951+69.9|1FGL J0956.5+6938|2FGL J0955.9+6936|3FGL J0955.4+6940|GB6 B0951+6955|87GB 095143.5+695452|HIJASS J0955+69B|INTREF   396|IRAS F09517+6954|IRAS 09517+6954|JVAS J0955+6940|1Jy 0951+69|1Jy 0951+699|KPG 218b|LEDA   28655|2MASX J09555243+6940469|MCG+12-10-011|2MFGC 7685|NAME UMa A|NAME Cigar Galaxy|NGC  3034|NRAO 341|NVSS J095551+694046|PBC J0955.7+6941|PLCKERC -100 G141.42+40.57|PRC D-13|PSCz Q09517+6954|QSO B0951+699|RAFGL 1388|RBS   809|RGB J0955+696|RGB J0955.9+6940|RX J095550+69406|RX J0955.8+6940|1RXS J095550.4+694052|S4 0951+699|S4 0951+69|SDSS J095551.73+694048.6|SWIFT J0956.1+6942|TeV J0955+696|4U 1004+70|UGC  5322|UT 0951+699|UZC J095557.0+694110|VLSS J0955.8+6940|WB 0951+6954|WMAP J0955+6940|WN B0951.7+6954|WN B0951.7+6954A|Z 333-8|Z 0951.7+6955|[B93] 14|[BAG2012] 148.9211+69.6846|[CAB95] IRAS F09517+6954|[CHM2007] HDC  552 J095552.43+6940469|[CHM2007] LDC  842 J095552.43+6940469|[DML87] 745|[DSL2000] 0951+700|[M98c] 095145.3+695511|[NKB95] N3034|[R97] NGC  3031  1|[RPS97] NGC  3034  2|[SPS97]  8|[TSA98] J095541.25+693927.31|[VDD93] 100|[WZX98] 09517+6954|[ZEH2003] RX J0955.8+6940  1" "NGC 3034" "M 82" "" "09 55 52.430" "+69 40 46.93" "Interacting Galaxies" "" "" 0.0007300 8.40999984741211 3.5300 Mpc ""
"M  83" "NAME Southern Pinwheel Galaxy" "M  83|CD-29 10465|CPD-29  3793|Cul 1334-296|6dFGS gJ133658.1-294826|2E  3112|2E 1334.2-2936|1ES 1334-29.6|ESO-LV 444-0810|ESO 444-81|FAUST 3840|FLASH J133700.23-295204.5|HD 118366|HIDEEP J1337-2954|HIPASS J1337-29|IRAS 13341-2936|IRAS F13341-2936|LEDA   48082|2MASX J13370091-2951567|MCG-05-32-050|MRC 1334-296|MSH 13-2-05|NAME Southern Pinwheel Galaxy|NGC  5236|NVSS J133700-295155|PKS 1334-296|PKS J1336-2951|PKS 1334-29|PMN J1336-2951|PSCz Q13341-2936|QDOT B1334113-293639|RBS  1293|RX J1337.0-2952|1RXS J133657.0-295207|SGC 133411-2936.8|SINGG HIPASS J1337-29|SPB 225|TXS 1334-296|UGCA 366|[BBW2000] FM  70|[CAB95] IRAS F13341-2936|[CHM2007] HDC  813 J133700.91-2951567|[CHM2007] LDC  993 J133700.91-2951567|[DAM86] 103|[DSB94]  62|[LB2005] NGC  5236 X1|[M98c] 133411.0-293648|[NKB95] N5236|[R84] A1-333|[TFP85] I1|[VDD93] 189" "NGC 5236" "M 83" "HD 118366" "13 37 00.919" "-29 51 56.74" "Starburst Galaxy" "" "" 0.0017330 7.519999980926514 4.9000 Mpc ""
"M  84" "" "M  84|ACSVCS 6|ASB 33|BWE 1222+1309|3C 272.1|4C 13.47|Cul 1222+131|DA 322|2E  2696|2E 1222.5+1309|EVCC 539|GB6 B1222+1309|87GB 122232.6+131000|GIN 778|ICRF J122503.7+125313|IERS B1222+131|IRAS 12224+1309|IRAS F12225+1309|JCMTSE J122503.6+125314|JCMTSF J122503.6+125314|1Jy 1222+131|1Jy 1222+13|LEDA   40455|LJHY  35|2MASX J12250377+1253130|MCG+02-32-034|MITG J122505+1252|MRC 1222+131|NGC  4374|NRAO 399|NVSS B122231+130912|OHIO A 322|PKS J1225+1253|PKS 1222+13|PKS 1223+132|PKS 1222+131|RX J1225.0+1253|RX J122503.7+125313|S3 1222+13|SDSS J122503.03+125349.1|SDSS J122503.74+125312.8|UGC  7494|UZC J122503.7+125314|VCC  763|VLSS J1225.0+1253|VPC  385|VSOP J1225+1253|WB 1222+1309|WSTB 29W3|Z  70-58|Z 1222.5+1310|[BEC2010] HRS 138|[CAB95] IRAS F12225+1309|[CHM2007] HDC  720 J122503.77+1253130|[CHM2007] LDC  904 J122503.77+1253130|[DC78] UGC  7494|[DLB87] V3|[DML87] 746|[DSB94] 272|[FWB89] Galaxy 255|[GW2008] CoNFIG 135|[TH2002]   5|[TT2002] Virgo  2|[VV2003c] J122503.7+125313|[VV2006c] J122503.7+125313|[VV2010c] J122503.7+125313" "NGC 4374" "M 84" "" "12 25 03.7433" "+12 53 13.139" "Seyfert 2 Galaxy" "" "" 0.0032700 10.489999771118164 19.1000 Mpc ""
"M  85" "" "M  85|ACSVCS 5|CAIRNS J122524.04+181125.9|CXOU J122524.0+181127|1E 1222.8+1828|2E  2700|2E 1222.8+1828|EVCC 554|GIN 779|KPG 334a|LEDA   40515|2MASX J12252405+1811278|MCG+03-32-029|NGC  4382|SDSS J122523.46+181156.1|SDSS J122524.06+181127.7|SDSS J122524.07+181127.9|UGC  7508|UZC J122524.2+181128|VCC  798|2XMM J122524.0+181129|Z  99-45|Z 1222.9+1828|[CHM2007] HDC  720 J122524.05+1811278|[CHM2007] LDC  904 J122524.05+1811278|[M98c] 122253.2+182803|[SSI2003b] NGC 4382  1|[T76]  66A|[TH2002]   4|[VDD93] 157" "NGC 4382" "M 85" "" "12 25 24.053" "+18 11 27.89" "Interacting Galaxies" "" "" 0.0025700 "" 15.8500 Mpc ""
"M  86" "NAME FAUST V051" "M  86|ACSVCS 4|ALFALFA 1-315|2E  2707|2E 1223.6+1312|1ES 1223+13.2|EVCC 597|GIN 780|IRAS F12234+1315|IRAS 12234+1315|LEDA   40653|2MASX J12261181+1256454|MCG+02-32-046|NAME FAUST V051|NGC  4406|SDSS J122613.17+125614.3|SDSS J122611.75+125646.3|UGC  7532|UZC J122611.9+125647|VCC  881|VPC  454|Z  70-72|Z 1223.7+1314|[BEC2010] HRS 150|[CHM2007] HDC  720 J122611.81+1256454|[CHM2007] LDC  904 J122611.81+1256454|[DLB87] V5|[DSB94] 269|[FWB89] Galaxy 258|[M98c] 122339.7+131325|[SBF2003] M86 FIR 1|[TH2002]   3|[TT2002] Virgo  1" "NGC 4406" "M 86" "" "12 26 11.814" "+12 56 45.49" "Galaxy in Group of Galaxies" "" "" -0.0006100 8.899999618530273 17.0600 Mpc ""
