MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V Distance_distance Distance_unit Distance_method
"HD    166" "" "V* V439 And|** ENG    1A|** STT  549A|ADS    69 A|AG+28    4|ASCC  647404|BD+28  4704|CCDM J00065+2900A|Ci 20    9|CSI+28  4704  1|1E 0004.0+2844|2E    15|2E 0004.0+2844|1ES 0004+28.7|EUVE J0006+29.0|Gaia DR1 2860924685628241024|GC    95|GCRV    51|GEN# +1.00000166|GJ     5|GSC 01735-00927|GSC 01735-02532|HD    166|HIC    544|HIP    544|HR     8|IDS 00014+2829 A|IRAS 00040+2844|LSPM J0006+2901|LTT 10023|2MASS J00063674+2901175|N30   12|NLTT   235|NSV    33|PLX    9|PLX    9.00|PPM  89410|RBS    15|RX J0006.6+2901|1RXS J000636.8+290112|SAO  73743|SKY#   200|SPOCS    4|TYC 1735-927-1|UBV      29|UBV M   7136|USNO-B1.0 1190-00001748|USNO-A2.0 1125-00043457|uvby98 100000166|WDS J00066+2901A|WEB    97|WISE J000637.09+290115.4|YZ  28     3|[B10]     6|[ZEH2003] RX J0006.6+2901  1" "" "" "HD 166" "00 06 36.7842" "+29 01 17.412" "Variable of BY Dra type" K0V 72.630 -0.0000220 6.130000114440918 "" "" ""
"HD    400" "" "HD    400|AG+36    9|ASCC  453541|BD+35     8|GC   131|GCRV    65|GEN# +1.00000400|GJ     6|GSC 02271-01441|HIC    699|HIP    699|HR    17|IRAS 00060+3620|LSPM J0008+3637|2MASS J00084037+3637377|PLX   13|PLX   13.00|PPM  65041|ROT    59|SAO  53677|SKY#   253|SPOCS    7|TD1    36|TYC 2271-1441-1|UBV      90|UBV M   7161|UBV M   7191|USNO-B1.0 1266-00002314|uvby98 100000400|WEB   119" "" "" "HD 400" "00 08 40.9383" "+36 37 37.647" "High proper-motion Star" F8IV 30.820 -0.0000500 6.202000141143799 "" "" ""
"CD-27    16" "" "LHS  1026|APMPM J0009-2707|BPM 46048|CD-27    16|CSI-27    16 20|EGM   8|GEN# +6.00246048|GEN# -0.02700016|G 266-57|G 267-38|GJ     7|HIC    738|HIP    738|LEHPM  235|LFT   14|L  578-58|LPM   6|LTT    58|2MASS J00090428-2707196|NLTT   390|PLX   16.1|PLX   16.10|PM J00090-2707|PM 00065-2724|TYC 6415-1134-1|UCAC4 315-000209|[RHG95]    27" "" "" "" "00 09 04.3609" "-27 07 19.682" "High proper-motion Star" M0V 42.650 -0.0000900 11.670000076293945 23.4500 pc ST-L
"* bet Cas" "NAME Caph" "V* bet Cas|* bet Cas|*  11 Cas|ADS   107 A|AG+58   16|ASCC  155033|BD+58     3|CCDM J00092+5909A|CEL     30|Ci 20   10|CSI+58     3  1|2E    20|2E 0006.5+5851|FK5    2|GC   147|GCRV    69|GEN# +1.00000432|GJ     8|HD    432|HIC    746|HIP    746|HR    21|IDS 00038+5836 A|IRAS 00065+5852|IRC +60004|JP11   346|LFT   15|LHS  1027|LSPM J0009+5908|LTT 10046|2MASS J00091071+5908591|N30   17|NAME Caph|NLTT   389|PLX   16|PLX   16.00|PMC 90-93     2|PPM  25054|RAFGL   21|ROT    60|1RXS J000910.1+590903|SAO  21133|SKY#   277|TD1    38|TYC 3664-1985-1|UBV      63|UBV M   7167|USNO-B1.0 1491-00004186|USNO-A2.0 1425-00225287|uvby98 100000432|WDS J00092+5909A|WEB   125|[HFE83]    5" "" "" "HD 432" "00 09 10.6851" "+59 08 59.212" "Variable Star of delta Sct type" F2III 59.580 0.0000140 2.2699999809265137 "" "" ""
"HD    469" "" "CCDM J00090-5400AB|** HDO  181|CPC 19    36|CPD-54    19|CSI-54    19 41|CSI-54    19 42|CSI-54    19 43|GC   148|GCRV 50074|GEN# +1.00000469J|GJ     9 C|GJ     9 A|GJ     9 B|HD    469|HIC    730|HIP    730|HR    23|IDS 00040-5433 AB|2MASS J00090239-5400071|N30   18|PPM 329972|SAO 231943|SKY#   270|TYC 8464-766-1|UBV      65|uvby98 100000469|WDS J00090-5400AB|WEB   124" "" "" "HD 469" "00 09 02.3931" "-54 00 06.971" "Double or multiple star" G8III+A/F 7.790 -0.0000030 6.329999923706055 "" "" ""
"HD    469" "" "CCDM J00090-5400AB|** HDO  181|CPC 19    36|CPD-54    19|CSI-54    19 41|CSI-54    19 42|CSI-54    19 43|GC   148|GCRV 50074|GEN# +1.00000469J|GJ     9 C|GJ     9 A|GJ     9 B|HD    469|HIC    730|HIP    730|HR    23|IDS 00040-5433 AB|2MASS J00090239-5400071|N30   18|PPM 329972|SAO 231943|SKY#   270|TYC 8464-766-1|UBV      65|uvby98 100000469|WDS J00090-5400AB|WEB   124" "" "" "HD 469" "00 09 02.3931" "-54 00 06.971" "Double or multiple star" G8III+A/F 7.790 -0.0000030 6.329999923706055 "" "" ""
"HD    469" "" "CCDM J00090-5400AB|** HDO  181|CPC 19    36|CPD-54    19|CSI-54    19 41|CSI-54    19 42|CSI-54    19 43|GC   148|GCRV 50074|GEN# +1.00000469J|GJ     9 C|GJ     9 A|GJ     9 B|HD    469|HIC    730|HIP    730|HR    23|IDS 00040-5433 AB|2MASS J00090239-5400071|N30   18|PPM 329972|SAO 231943|SKY#   270|TYC 8464-766-1|UBV      65|uvby98 100000469|WDS J00090-5400AB|WEB   124" "" "" "HD 469" "00 09 02.3931" "-54 00 06.971" "Double or multiple star" G8III+A/F 7.790 -0.0000030 6.329999923706055 "" "" ""
"* eps Phe" "" "LTT    63|* eps Phe|CD-46    18|CPC  0    38|CPD-46     7|FK5    3|GC   158|GCRV    75|GEN# +1.00000496|GJ  9004|GJ     9.1|GSC 08022-01240|HD    496|HIC    765|HIP    765|HR    25|JP11   347|2MASS J00092467-4544506|N30   21|NLTT   423|PLX   19|PLX   19.00|PPM 304618|SACS   2|SAO 214983|SKY#   283|TD1    46|TYC 8022-1240-1|UBV      68|UBV M   7175|WEB   129" "" "" "HD 496" "00 09 24.6415" "-45 44 50.731" "High proper-motion Star" K0III 22.620 -0.0000310 3.869999885559082 "" "" ""
"*   6 Cet" "" "LTT    75|*   6 Cet|BD-16    17|GC   190|GCRV    92|GEN# +1.00000693|GJ    10|HD    693|HIC    910|HIP    910|HR    33|IRAS 00087-1544|JP11   352|2MASS J00111587-1528043|NLTT   524|PLX   24|PLX   24.00|PPM 208457|ROT    64|SAO 147133|SKY#   330|TD1    61|TYC 5839-1081-1|UBV     101|UBV M   7197|uvby98 100000693|WEB   158|WISE J001115.82-152807.2|YZ 105    34" "" "" "HD 693" "00 11 15.8576" "-15 28 04.725" "High proper-motion Star" F8VFe-0.8CH-0.5 53.340 0.0000490 4.889999866485596 "" "" ""
"HD    741" "" "LTT    80|CD-59    14|CPC 20    48|CPD-59     8|Gaia DR1 4918156055533722368|GCRV 50138|GEN# +1.00000741|GJ  9005|GJ    10.1|HD    741|HIC    929|HIP    929|2MASS J00113307-5854353|NLTT   541|PLX   26|PLX   26.00|PPM 330009|SAO 231962|TYC 8470-667-1|UBV     112|UBV M   7202|uvby98 100000741|WEB   164" "" "" "HD 741" "00 11 33.0839" "-58 54 35.428" "High proper-motion Star" G3V 16.180 -0.0000160 8.359999656677246 "" "" ""
